X Location (mm)	Y Location (mm)	Z Location (mm)	Shear Stress (MPa)
82,	30,916	-21,307	-6,6893
82,	33,361	-23,002	-6,4359
82,	35,977	-24,418	-4,9016
82,	38,733	-25,537	-4,4082
82,	41,596	-26,347	-3,2718
82,	44,53	-26,836	-2,8411
122,5	16,612	-29,551	1,3957
121,02	18,112	-28,656	2,0291
119,5	16,642	-29,534	1,663
120,98	15,112	-30,345	1,2954
122,1	17,629	-28,956	2,2218
119,92	17,652	-28,942	1,6869
119,89	15,605	-30,095	1,4092
122,09	15,581	-30,107	1,2235
122,5	16,612	29,551	1,2551
120,98	15,112	30,345	1,2134
119,5	16,642	29,534	1,6235
121,02	18,112	28,656	2,054
122,09	15,581	30,107	1,3624
119,89	15,604	30,095	1,4367
119,92	17,652	28,942	1,8367
122,1	17,629	28,956	1,7812
106,	-4,1516e-015	-33,9	0,31008
106,	-2,9961	-33,767	0,35104
106,	-5,9687	-33,37	0,86999
106,	-8,8946	-32,712	1,5215
106,	-11,751	-31,798	2,5196
106,	-14,515	-30,635	3,6033
106,	-17,166	-29,232	4,3844
106,	-19,682	-27,601	3,957
106,	-22,045	-25,753	4,3028
106,	-24,235	-23,704	4,2245
106,	-26,235	-21,47	3,8806
106,	-28,03	-19,067	3,5355
106,	-29,605	-16,515	3,2884
106,	-30,949	-13,834	2,8799
106,	-32,05	-11,045	2,5956
106,	-32,901	-8,1688	3,2765
106,	-33,494	-5,229	2,8244
106,	-33,825	-2,2483	2,6075
