X Location (mm)	Y Location (mm)	Z Location (mm)	Shear Stress (MPa)
31,	-94,	-7,6328e-014	1,0436e-003
31,	-93,873	4,8806	-5,8119e-002
31,	-93,493	9,748	-0,11699
31,	-92,861	14,589	-0,17065
31,	-91,978	19,391	-0,22901
31,	-90,847	24,14	-0,27899
31,	-89,471	28,825	-0,33089
31,	-87,854	33,431	-0,37194
31,	-86,	37,948	-0,41256
31,	-83,914	42,362	-0,44156
31,	-81,601	46,661	-0,46351
31,	-79,068	50,835	-0,4718
31,	-76,322	54,872	-0,46823
31,	-73,37	58,761	-0,4455
31,	-70,22	62,491	-0,40975
31,	-66,881	66,052	-0,36184
31,	-63,361	69,436	-0,29532
31,	-59,671	72,632	-0,21727
31,	-55,819	75,632	-0,13909
31,	-51,817	78,428	-6,6237e-002
31,	-47,675	81,013	-9,2105e-003
31,	-17,039	32,731	-8,0788
31,	-41,207	79,158	-0,2323
31,	-39,01	74,938	-0,42539
31,	-36,813	70,717	-0,62486
31,	-34,616	66,496	-0,80719
31,	-32,419	62,276	-0,98009
31,	-30,221	58,055	-1,2131
31,	-28,024	53,834	-1,4306
31,	-25,827	49,613	-1,7794
31,	-23,63	45,393	-2,1101
31,	-21,433	41,172	-2,9023
31,	-19,236	36,951	-4,0708
31,	5,3602	36,509	0,10218
31,	0,76119	36,892	6,8484e-002
31,	-3,8497	36,699	0,23895
31,	-8,4004	35,931	0,31063
31,	-12,82	34,602	1,1672
31,	38,81	31,598	0,62962
31,	34,031	32,299	0,958
31,	29,253	33,001	1,0865
31,	24,474	33,702	1,218
31,	19,696	34,404	0,8597
31,	14,917	35,105	0,55675
31,	10,139	35,807	0,25373
51,	47,5	-29,	2,4798
51,	44,518	-28,846	3,933
51,	41,568	-28,387	5,5299
51,	38,681	-27,626	6,804
51,	35,887	-26,573	6,4902
51,	33,216	-25,238	6,9287
51,	30,697	-23,636	7,1167
51,	28,356	-21,783	5,9379
51,	26,217	-19,699	4,8403
51,	24,305	-17,406	4,4182
51,	22,638	-14,929	2,3394
51,	21,235	-12,294	3,4644
51,	20,11	-9,5277	2,8284
51,	19,275	-6,6609	2,7482
51,	18,74	-3,7236	1,6262
51,	18,51	-0,74669	-2,6767e-002
51,	18,586	2,2381	-0,53055
51,	18,97	5,1991	-1,9396
51,	19,656	8,1051	-3,0403
51,	20,637	10,925	-2,9707
51,	21,902	13,629	-4,308
51,	23,439	16,189	-5,1274
51,	25,231	18,577	-4,9203
51,	27,26	20,768	-5,3267
51,	29,502	22,739	-7,2184
51,	31,936	24,469	-7,5558
51,	34,534	25,94	-7,2826
51,	37,27	27,136	-6,2877
51,	40,115	28,044	-6,3978
51,	43,037	28,655	-4,6144
51,	46,007	28,962	-3,1098
51,	48,993	28,962	-1,309
51,	51,963	28,655	6,8365e-002
51,	54,885	28,044	0,7203
51,	57,73	27,136	1,5761
51,	60,466	25,94	1,1836
51,	63,064	24,469	0,52304
51,	65,498	22,739	0,22394
51,	67,74	20,768	0,12123
51,	69,769	18,577	0,12468
51,	71,561	16,189	3,8496e-002
51,	73,098	13,629	-4,0963e-002
51,	74,363	10,925	-8,2473e-002
51,	75,344	8,1051	-9,3628e-002
51,	76,03	5,1991	-8,7288e-002
51,	76,414	2,2381	-3,6804e-002
51,	76,49	-0,74669	2,9628e-002
51,	76,26	-3,7236	7,1811e-002
51,	75,725	-6,6609	9,244e-002
51,	74,89	-9,5277	0,11471
51,	73,765	-12,294	4,8164e-002
51,	72,362	-14,929	3,3234e-003
51,	70,695	-17,406	-9,6757e-002
51,	68,783	-19,699	-0,1642
51,	66,644	-21,783	-0,34135
51,	64,303	-23,636	-0,71334
51,	61,784	-25,238	-1,5236
51,	59,113	-26,573	-1,5352
51,	56,319	-27,626	-0,61088
51,	53,432	-28,387	0,30412
51,	50,482	-28,846	1,2355
51,	-43,404	-83,379	6,0232e-004
51,	-17,039	-32,731	5,1787
51,	-41,207	-79,158	0,2323
51,	-39,01	-74,938	0,41971
51,	-36,813	-70,717	0,61629
51,	-34,616	-66,496	0,77889
51,	-32,419	-62,276	0,966
51,	-30,221	-58,055	1,1347
51,	-28,024	-53,834	1,3886
51,	-25,827	-49,613	1,6623
51,	-23,63	-45,393	2,0879
51,	-21,433	-41,172	2,6426
51,	-19,236	-36,951	5,9948
51,	5,3602	-36,509	0,91472
51,	-12,82	-34,602	-3,5339
51,	-8,4004	-35,931	-1,418
51,	-3,8497	-36,699	-0,80361
51,	0,76119	-36,892	0,17729
51,	51,858	-29,682	0,21607
51,	47,208	-30,364	1,2425
51,	42,558	-31,047	1,8351
51,	37,909	-31,73	2,0649
51,	33,259	-32,413	2,4499
51,	28,609	-33,095	2,3817
51,	23,959	-33,778	2,1632
51,	19,31	-34,461	1,9715
51,	14,66	-35,143	1,7494
51,	10,01	-35,826	1,46
51,	51,858	29,682	-5,5906e-002
51,	56,483	-28,623	-0,41374
51,	60,884	-26,849	-0,57382
51,	64,95	-24,403	-0,18161
51,	68,58	-21,346	-5,3193e-002
51,	71,682	-17,755	-0,1003
51,	74,179	-13,72	7,8444e-002
51,	76,008	-9,3421	0,1747
51,	77,125	-4,7302	0,12965
51,	77,5	-1,7347e-015	3,6096e-003
51,	77,125	4,7302	-0,1383
51,	76,008	9,3421	-0,19965
51,	74,179	13,72	-0,13572
51,	71,682	17,755	3,3432e-002
51,	68,58	21,346	-4,0237e-002
51,	64,95	24,403	-0,1829
51,	60,884	26,849	0,11935
51,	56,483	28,623	0,41777
51,	5,3602	36,509	-1,0131
51,	47,208	30,364	-0,92409
51,	42,558	31,047	-1,7205
51,	37,909	31,73	-2,3336
51,	33,259	32,413	-2,3503
51,	28,609	33,095	-2,3653
51,	23,959	33,778	-2,2846
51,	19,31	34,461	-2,0335
51,	14,66	35,143	-1,818
51,	10,01	35,826	-1,5099
51,	-17,039	32,731	-6,2113
51,	0,76119	36,892	-0,11489
51,	-3,8497	36,699	0,68133
51,	-8,4004	35,931	1,5564
51,	-12,82	34,602	1,8254
51,	-43,404	83,379	-6,4588e-004
51,	-41,207	79,158	-0,23328
51,	-39,01	74,938	-0,41953
51,	-36,813	70,717	-0,60756
51,	-34,616	66,496	-0,77813
51,	-32,419	62,276	-0,95413
51,	-30,221	58,055	-1,1652
51,	-28,024	53,834	-1,3296
51,	-25,827	49,613	-1,6546
51,	-23,63	45,393	-2,074
51,	-21,433	41,172	-2,9916
51,	-19,236	36,951	-4,9852
51,	-47,675	-81,013	1,4539e-002
51,	-51,817	-78,428	6,0434e-002
51,	-55,819	-75,632	0,12209
51,	-59,671	-72,632	0,18876
51,	-63,361	-69,436	0,24919
51,	-66,881	-66,052	0,30061
51,	-70,22	-62,491	0,33969
51,	-73,37	-58,761	0,36598
51,	-76,322	-54,872	0,37741
51,	-79,068	-50,835	0,37423
51,	-81,601	-46,661	0,36072
51,	-83,914	-42,362	0,33853
51,	-86,	-37,948	0,30962
51,	-87,854	-33,431	0,27724
51,	-89,471	-28,825	0,23854
51,	-90,847	-24,14	0,20049
51,	-91,978	-19,391	0,15998
51,	-92,861	-14,589	0,12025
51,	-93,493	-9,748	7,969e-002
51,	-93,873	-4,8806	3,9328e-002
51,	-94,	-7,6328e-014	6,981e-004
51,	-93,873	4,8806	-4,1222e-002
51,	-93,493	9,748	-7,7794e-002
51,	-92,861	14,589	-0,11975
51,	-91,978	19,391	-0,15773
51,	-90,847	24,14	-0,20024
51,	-89,471	28,825	-0,23525
51,	-87,854	33,431	-0,27723
51,	-86,	37,948	-0,31143
51,	-83,914	42,362	-0,33792
51,	-81,601	46,661	-0,36018
51,	-79,068	50,835	-0,37524
51,	-76,322	54,872	-0,3773
51,	-73,37	58,761	-0,36768
51,	-70,22	62,491	-0,34046
51,	-66,881	66,052	-0,30074
51,	-63,361	69,436	-0,25375
51,	-59,671	72,632	-0,19141
51,	-55,819	75,632	-0,12088
51,	-51,817	78,428	-6,0938e-002
51,	-47,675	81,013	-1,1729e-002
46,	5,3602	-36,509	0,60499
41,	5,3602	-36,509	0,43755
36,	5,3602	-36,509	0,1702
36,	-17,039	-32,731	4,1231
41,	-17,039	-32,731	6,6699
46,	-17,039	-32,731	6,1464
38,533	51,858	-29,682	-8,5147e-002
32,883	42,072	-31,119	-0,43975
34,767	45,334	-30,64	-0,32628
36,65	48,596	-30,161	-0,14859
46,844	51,858	-29,682	0,24289
42,689	51,858	-29,682	0,1797
48,	69,426	-20,476	0,47745
40,615	55,72	-28,852	-0,12985
42,635	59,469	-27,509	-0,1248
44,562	63,046	-25,658	0,16569
46,363	66,388	-23,308	0,32202
48,	69,426	20,476	-0,55773
48,	72,244	-16,963	0,50322
48,	74,504	-13,069	0,41003
48,	76,156	-8,8795	0,3148
48,	77,162	-4,4903	0,17231
48,	77,5	0,	-1,3619e-003
48,	77,162	4,4903	-0,18307
48,	76,156	8,8795	-0,32079
48,	74,504	13,069	-0,42141
48,	72,244	16,963	-0,50516
38,533	51,858	29,682	9,3729e-002
46,363	66,388	23,308	-0,50692
44,562	63,046	25,658	-0,45349
42,635	59,469	27,509	3,1306e-002
40,615	55,72	28,852	0,10017
46,844	51,858	29,682	-0,21
42,689	51,858	29,682	-0,22117
36,65	48,596	30,161	0,17695
34,767	45,334	30,64	0,40964
32,883	42,072	31,119	0,49165
46,	5,3602	36,509	-0,65951
41,	5,3602	36,509	-0,43516
36,	5,3602	36,509	-0,18479
46,	-17,039	32,731	-4,9563
41,	-17,039	32,731	-5,6251
36,	-17,039	32,731	-5,1122
46,	-43,404	83,379	-5,363e-003
41,	-43,404	83,379	-4,2226e-003
36,	-43,404	83,379	-7,386e-003
46,	-43,404	-83,379	5,2933e-003
41,	-43,404	-83,379	3,484e-003
36,	-43,404	-83,379	4,5723e-003
46,	68,5	-18,52	0,71047
46,	68,5	18,52	-0,90813
46,	68,5	-13,89	0,39275
46,	68,5	-9,2601	0,25247
46,	68,5	-4,6301	0,28371
46,	68,5	-1,7347e-015	0,10802
46,	68,5	4,6301	-0,16395
46,	68,5	9,2601	-0,20497
46,	68,5	13,89	-0,44294
46,	71,191	14,924	-0,68258
46,	73,273	10,943	-0,46593
46,	74,691	6,6805	-0,29837
46,	75,41	2,2461	-0,10963
46,	75,41	-2,2461	7,7065e-002
46,	74,691	-6,6805	0,25534
46,	73,273	-10,943	0,45115
46,	71,191	-14,924	0,66432
46,138	68,74	-19,348	0,80305
36,801	52,567	-27,703	-0,31808
44,51	65,919	-21,922	0,19647
42,728	62,832	-24,054	-4,6039e-002
40,828	59,542	-25,731	-0,19444
38,843	56,104	-26,948	-0,2086
31,268	42,983	-29,11	-0,64037
34,957	49,373	-28,172	-0,53991
33,112	46,178	-28,641	-0,6812
31,268	42,983	29,11	0,62349
31,268	42,983	-24,258	-0,61472
31,268	42,983	-19,407	-0,35748
31,268	42,983	-14,555	-8,2243e-002
