X Location (mm)	Y Location (mm)	Z Location (mm)	Shear Stress (MPa)
51,	77,125	-4,7302	8,2774e-003
51,	77,5	-1,7347e-015	6,8829e-003
51,	77,125	4,7302	9,2913e-003
51,	76,008	9,3421	1,4858e-002
51,	74,179	13,72	1,0154e-002
51,	71,682	17,755	-4,2495e-002
51,	68,58	21,346	-0,31897
51,	64,95	24,403	-0,62368
51,	60,884	26,849	-1,1114
51,	56,483	28,623	-0,62427
51,	5,3602	36,509	3,9279e-002
51,	47,208	30,364	0,2629
51,	42,558	31,047	0,30686
51,	37,909	31,73	0,16018
51,	33,259	32,413	6,8077e-002
51,	28,609	33,095	0,31496
51,	23,959	33,778	0,30722
51,	19,31	34,461	0,13677
51,	14,66	35,143	0,19351
51,	10,01	35,826	8,7652e-002
51,	-17,039	32,731	-3,5255e-002
51,	0,76119	36,892	7,6222e-002
51,	-3,8497	36,699	0,13946
51,	-8,4004	35,931	0,45215
51,	-12,82	34,602	0,81752
51,	-43,404	83,379	9,0057e-004
51,	-41,207	79,158	3,766e-003
51,	-39,01	74,938	9,8354e-003
51,	-36,813	70,717	1,3794e-002
51,	-34,616	66,496	1,2879e-002
51,	-32,419	62,276	1,3312e-002
51,	-30,221	58,055	1,3514e-002
51,	-28,024	53,834	1,6293e-003
51,	-25,827	49,613	4,3429e-002
51,	-23,63	45,393	-1,4784e-002
51,	-21,433	41,172	4,0763e-002
51,	-19,236	36,951	-0,29777
51,	-47,675	-81,013	1,0771e-004
51,	-51,817	-78,428	-3,2299e-003
51,	-55,819	-75,632	-2,0571e-003
51,	-59,671	-72,632	-6,7077e-003
51,	-63,361	-69,436	-1,9399e-003
51,	-66,881	-66,052	-4,6489e-003
51,	-70,22	-62,491	-3,8638e-003
51,	-73,37	-58,761	-2,9927e-003
51,	-76,322	-54,872	-3,4054e-003
51,	-79,068	-50,835	-1,173e-003
51,	-81,601	-46,661	-1,2682e-003
51,	-83,914	-42,362	-3,0742e-004
51,	-86,	-37,948	-5,4347e-004
51,	-87,854	-33,431	-1,2447e-003
51,	-89,471	-28,825	-6,3082e-004
51,	-90,847	-24,14	-1,0434e-003
51,	-91,978	-19,391	-7,164e-004
51,	-92,861	-14,589	-1,0034e-004
51,	-93,493	-9,748	-7,8464e-004
51,	-93,873	-4,8806	-2,9909e-004
51,	-94,	-7,6328e-014	-9,6584e-004
51,	-93,873	4,8806	-6,684e-004
51,	-93,493	9,748	-1,3743e-003
51,	-92,861	14,589	-9,7564e-004
51,	-91,978	19,391	-6,677e-004
51,	-90,847	24,14	-9,5751e-004
51,	-89,471	28,825	-2,2236e-003
51,	-87,854	33,431	-1,4182e-003
51,	-86,	37,948	-1,3476e-003
51,	-83,914	42,362	-1,7868e-003
51,	-81,601	46,661	-3,6359e-004
51,	-79,068	50,835	-1,3049e-003
51,	-76,322	54,872	-1,8007e-003
51,	-73,37	58,761	-2,1313e-003
51,	-70,22	62,491	-3,7675e-003
51,	-66,881	66,052	-3,7273e-003
51,	-63,361	69,436	-4,8449e-003
51,	-59,671	72,632	-7,8556e-003
51,	-55,819	75,632	-8,075e-003
51,	-51,817	78,428	-3,4396e-003
51,	-47,675	81,013	-2,4394e-003
46,	5,3602	-36,509	0,83482
41,	5,3602	-36,509	1,1606
36,	5,3602	-36,509	0,8884
36,	-17,039	-32,731	0,25101
41,	-17,039	-32,731	0,71915
46,	-17,039	-32,731	1,4855
38,533	51,858	-29,682	-0,76826
32,883	42,072	-31,119	-1,1912
34,767	45,334	-30,64	-1,1978
36,65	48,596	-30,161	-0,99491
46,844	51,858	-29,682	-0,30664
42,689	51,858	-29,682	-0,7633
48,	69,426	-20,476	-0,47472
40,615	55,72	-28,852	-0,65079
42,635	59,469	-27,509	-0,70344
44,562	63,046	-25,658	-1,0929
46,363	66,388	-23,308	-0,87713
48,	69,426	20,476	-0,23735
48,	72,244	-16,963	-0,12364
48,	74,504	-13,069	-1,2205e-002
48,	76,156	-8,8795	1,5245e-002
48,	77,162	-4,4903	-4,2181e-004
48,	77,5	0,	-5,3267e-003
48,	77,162	4,4903	2,0973e-003
48,	76,156	8,8795	2,1921e-002
48,	74,504	13,069	3,0086e-002
48,	72,244	16,963	-6,8391e-003
38,533	51,858	29,682	-1,1297
46,363	66,388	23,308	-0,54164
44,562	63,046	25,658	-1,0753
42,635	59,469	27,509	-1,1087
40,615	55,72	28,852	-1,0612
46,844	51,858	29,682	-1,052
42,689	51,858	29,682	-1,3149
36,65	48,596	30,161	-1,3585
34,767	45,334	30,64	-1,4561
32,883	42,072	31,119	-1,3746
46,	5,3602	36,509	0,91869
41,	5,3602	36,509	1,212
36,	5,3602	36,509	0,95412
46,	-17,039	32,731	1,567
41,	-17,039	32,731	0,86556
36,	-17,039	32,731	0,10843
46,	-43,404	83,379	-3,3693e-004
41,	-43,404	83,379	-2,3757e-003
36,	-43,404	83,379	-2,2687e-003
46,	-43,404	-83,379	9,408e-004
41,	-43,404	-83,379	-2,3203e-003
36,	-43,404	-83,379	-1,2696e-003
46,	68,5	-18,52	0,23903
46,	68,5	18,52	0,3614
46,	68,5	-13,89	0,62218
46,	68,5	-9,2601	0,82301
46,	68,5	-4,6301	0,86911
46,	68,5	-1,7347e-015	0,78524
46,	68,5	4,6301	0,88466
46,	68,5	9,2601	0,75782
46,	68,5	13,89	0,57546
46,	71,191	14,924	-1,6111e-002
46,	73,273	10,943	-8,1929e-002
46,	74,691	6,6805	-0,14392
46,	75,41	2,2461	-0,15633
46,	75,41	-2,2461	-0,16142
46,	74,691	-6,6805	-0,15457
46,	73,273	-10,943	-8,3792e-002
46,	71,191	-14,924	-7,5048e-003
46,138	68,74	-19,348	-1,2148e-002
36,801	52,567	-27,703	-0,87248
44,51	65,919	-21,922	-2,0441e-002
42,728	62,832	-24,054	-0,17539
40,828	59,542	-25,731	-0,29147
38,843	56,104	-26,948	-0,52889
31,268	42,983	-29,11	-0,72002
34,957	49,373	-28,172	-1,2706
33,112	46,178	-28,641	-1,4732
31,268	42,983	29,11	-0,85918
31,268	42,983	-24,258	-0,5827
31,268	42,983	-19,407	-0,60446
31,268	42,983	-14,555	-0,5391
31,268	42,983	-9,7034	-0,80488
31,268	42,983	-4,8517	-0,62144
31,268	42,983	-3,4694e-015	-0,72048
31,268	42,983	4,8517	-0,83947
31,268	42,983	9,7034	-0,87755
31,268	42,983	14,555	-0,56169
31,268	42,983	19,407	-0,5109
31,268	42,983	24,258	-0,59597
36,801	52,567	27,703	-1,1323
33,112	46,178	28,641	-1,6238
34,957	49,373	28,172	-1,4329
46,138	68,74	19,348	0,12316
38,843	56,104	26,948	-0,68484
40,828	59,542	25,731	-0,42316
42,728	62,832	24,054	-0,16545
44,51	65,919	21,922	0,10976
37,351	52,448	-29,054	-0,79242
37,351	52,448	29,054	-1,104
53,	47,5	-27,	3,0379
53,	50,47	-26,836	1,2712
53,	53,404	-26,347	0,18927
53,	56,267	-25,537	-1,8764
53,	59,023	-24,418	-4,0887
53,	61,639	-23,002	-2,023
53,	64,084	-21,307	-1,2319
53,	66,327	-19,353	-0,22082
53,	68,342	-17,165	2,1968e-002
53,	70,103	-14,768	0,17261
53,	71,591	-12,191	0,21858
53,	72,786	-9,4672	0,25711
53,	73,674	-6,6281	0,22024
53,	74,244	-3,7085	0,10636
53,	74,49	-0,74397	1,0474e-002
53,	74,408	2,2296	1,6425e-002
53,	73,999	5,1762	1,852e-002
53,	73,269	8,0599	0,21231
53,	72,226	10,846	0,26535
53,	70,883	13,5	0,33102
53,	69,256	15,99	0,25595
53,	67,365	18,287	0,1215
53,	65,232	20,361	-0,15217
53,	62,885	22,188	-0,40845
53,	60,351	23,746	-1,4963
53,	57,66	25,015	-2,7227
53,	54,847	25,981	-2,5338
53,	51,944	26,632	-0,62722
53,	48,987	26,959	2,1045
53,	46,013	26,959	3,6172
53,	43,056	26,632	4,8169
53,	40,153	25,981	6,6087
53,	37,34	25,015	8,0124
53,	34,649	23,746	9,2561
53,	32,115	22,188	10,126
53,	29,768	20,361	9,7063
53,	27,635	18,287	8,4151
53,	25,744	15,99	9,8719
53,	24,117	13,5	9,133
53,	22,774	10,846	7,3074
53,	21,731	8,0599	7,3246
53,	21,001	5,1762	5,1223
53,	20,592	2,2296	9,3802
53,	20,51	-0,74397	10,955
53,	20,756	-3,7085	7,6511
53,	21,326	-6,6281	7,584
53,	22,214	-9,4672	8,6802
53,	23,409	-12,191	7,9229
53,	24,897	-14,768	7,9484
53,	26,658	-17,165	9,4389
53,	28,673	-19,353	8,0375
53,	30,916	-21,307	9,5705
53,	33,361	-23,002	10,14
53,	35,977	-24,418	8,9963
53,	38,733	-25,537	7,465
53,	41,596	-26,347	5,8903
53,	44,53	-26,836	4,9552
82,	47,5	-27,	-3,9802
82,	50,47	-26,836	-2,5941
82,	53,404	-26,347	-2,3573
82,	56,267	-25,537	1,6644
82,	59,023	-24,418	4,0364
82,	61,639	-23,002	5,6579
82,	64,084	-21,307	4,4466
82,	66,327	-19,353	1,6262
82,	68,342	-17,165	6,0976e-003
82,	70,103	-14,768	-0,38384
82,	71,591	-12,191	-0,4091
82,	72,786	-9,4672	-0,37627
82,	73,674	-6,6281	-0,17933
82,	74,244	-3,7085	-3,762e-002
82,	74,49	-0,74397	-2,9737e-002
82,	74,408	2,2296	-1,9611e-002
82,	73,999	5,1762	4,8398e-002
82,	73,269	8,0599	-0,16325
82,	72,226	10,846	-0,31484
82,	70,883	13,5	-0,41624
82,	69,256	15,99	-0,31919
82,	67,365	18,287	-0,12696
82,	65,232	20,361	0,40544
82,	62,885	22,188	1,7663
82,	60,351	23,746	4,1256
82,	57,66	25,015	4,0738
82,	54,847	25,981	1,118
82,	51,944	26,632	0,11008
82,	48,987	26,959	-3,103
82,	46,013	26,959	-4,4302
82,	43,056	26,632	-6,9248
82,	40,153	25,981	-7,9279
82,	37,34	25,015	-10,616
82,	34,649	23,746	-8,5239
82,	32,115	22,188	-7,8494
82,	29,768	20,361	-8,877
82,	27,635	18,287	-8,0321
82,	25,744	15,99	-10,188
82,	24,117	13,5	-8,7055
82,	22,774	10,846	-9,0302
82,	21,731	8,0599	-9,4002
82,	21,001	5,1762	-8,8538
82,	20,592	2,2296	-11,116
82,	20,51	-0,74397	-8,7592
82,	20,756	-3,7085	-8,3179
82,	21,326	-6,6281	-9,1055
82,	22,214	-9,4672	-9,979
82,	23,409	-12,191	-10,003
82,	24,897	-14,768	-9,8736
82,	26,658	-17,165	-9,3891
82,	28,673	-19,353	-7,464
82,	30,916	-21,307	-7,4913
82,	33,361	-23,002	-7,7896
82,	35,977	-24,418	-6,7477
82,	38,733	-25,537	-7,4481
82,	41,596	-26,347	-6,9074
82,	44,53	-26,836	-6,8123
122,5	16,612	-29,551	1,5638
121,02	18,112	-28,656	2,2673
119,5	16,642	-29,534	1,8018
120,98	15,112	-30,345	1,4428
122,1	17,629	-28,956	2,4621
119,92	17,652	-28,942	1,9296
119,89	15,605	-30,095	1,4912
122,09	15,581	-30,107	1,3735
122,5	16,612	29,551	1,3651
120,98	15,112	30,345	1,3344
119,5	16,642	29,534	1,747
121,02	18,112	28,656	2,2835
122,09	15,581	30,107	1,5438
119,89	15,604	30,095	1,5261
119,92	17,652	28,942	2,0953
122,1	17,629	28,956	1,9553
106,	-4,1516e-015	-33,9	0,2621
106,	-2,9961	-33,767	0,58831
106,	-5,9687	-33,37	1,0126
106,	-8,8946	-32,712	1,7854
106,	-11,751	-31,798	2,8564
106,	-14,515	-30,635	4,0254
106,	-17,166	-29,232	4,8434
106,	-19,682	-27,601	4,4748
106,	-22,045	-25,753	4,7734
106,	-24,235	-23,704	4,7225
106,	-26,235	-21,47	4,3104
106,	-28,03	-19,067	3,9228
106,	-29,605	-16,515	3,674
106,	-30,949	-13,834	3,2362
106,	-32,05	-11,045	2,8708
106,	-32,901	-8,1688	3,5645
106,	-33,494	-5,229	3,1151
106,	-33,825	-2,2483	2,8535
106,	-33,892	0,74994	3,326
106,	-33,693	3,7424	2,3894
106,	-33,23	6,7055	2,8695
106,	-32,508	9,6161	2,9125
106,	-31,53	12,452	3,0719
106,	-30,307	15,189	3,5818
106,	-28,846	17,809	3,7539
