X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Stress (MPa)
48,161	-92,092	0,86371	0,26508
49,531	-92,045	-1,7159	0,26386
51,	-93,715	7,3167	-3,2966e-003
48,631	-93,763	6,6662	1,3616e-004
48,557	-93,923	3,8129	-3,6547e-004
51,	-90,251	2,1129	0,49674
51,	-89,836	6,3877	0,52462
48,161	-92,029	3,304	0,26551
51,	-93,209	12,173	-1,145e-002
48,631	-93,559	9,099	-4,2962e-003
48,557	-93,341	11,112	-1,1659e-002
51,	-89,646	8,8214	0,52019
48,365	-91,214	11,265	0,27561
51,	-92,451	16,996	-2,2207e-002
48,631	-92,566	16,354	-2,2318e-002
48,557	-93,021	13,532	-1,538e-002
51,	-87,072	15,55	0,71052
51,	-89,33	11,242	0,51647
48,365	-90,898	13,685	0,27189
49,576	-90,442	16,669	0,24712
51,	-91,444	21,773	-4,2266e-002
48,631	-92,111	18,752	-2,9354e-002
48,557	-91,685	20,732	-3,8376e-002
51,	-86,63	17,951	0,70348
51,	-87,273	21,77	0,47917
48,909	-89,968	21,262	0,1652
49,576	-90,001	19,07	0,24008
51,	-90,19	26,491	-6,446e-002
48,631	-90,371	25,865	-6,2154e-002
48,557	-91,116	23,106	-5,1399e-002
51,	-86,708	24,144	0,46615
48,909	-89,402	23,637	0,15218
51,	-88,693	31,138	-8,9438e-002
48,631	-89,669	28,203	-7,1324e-002
48,557	-89,041	30,128	-8,6443e-002
51,	-86,02	26,486	0,45698
48,014	-85,751	30,6	0,28951
51,	-86,956	35,701	-0,12315
48,631	-87,202	35,097	-0,11935
48,557	-88,229	32,43	-0,10225
51,	-83,458	34,075	0,36482
51,	-85,211	28,79	0,44117
48,014	-84,942	32,903	0,2737
51,	-84,985	40,168	-0,15644
48,631	-86,261	37,35	-0,13726
48,557	-85,437	39,199	-0,15203
51,	-82,531	36,333	0,34692
51,	-82,785	44,526	-0,18947
48,631	-83,092	43,951	-0,18784
48,557	-84,39	41,405	-0,16741
51,	-81,488	38,54	0,33153
51,	-79,924	41,847	0,27479
47,529	-81,211	41,822	0,14859
49,618	-81,219	43,808	1,1011e-002
51,	-80,362	48,765	-0,22633
48,631	-81,923	46,094	-0,20549
48,557	-80,911	47,848	-0,22115
51,	-78,768	43,997	0,25714
51,	-78,186	47,881	2,8155e-002
49,618	-80,063	45,958	-6,6378e-003
51,	-77,721	52,871	-0,26021
48,631	-78,086	52,331	-0,25547
48,557	-79,641	49,933	-0,24036
51,	-76,92	49,968	8,9407e-003
51,	-74,871	56,835	-0,28815
48,631	-76,701	54,341	-0,27014
48,557	-75,513	55,98	-0,28447
51,	-75,547	51,986	-5,7224e-003
51,	-72,69	54,552	2,688e-002
51,	-71,82	60,646	-0,30606
48,631	-72,239	60,146	-0,30741
48,557	-74,034	57,923	-0,29774
51,	-71,214	56,497	1,361e-002
51,	-68,574	64,293	-0,30929
48,631	-70,653	62,001	-0,31205
48,557	-69,3	63,51	-0,31288
51,	-65,69	60,8	5,1003e-002
51,	-69,639	58,362	8,9688e-003
48,672	-67,807	62,608	-0,1668
51,	-65,143	67,767	-0,2978
48,593	-65,61	67,315	-0,29795
48,557	-67,628	65,288	-0,31148
51,	-64,021	62,581	5,2407e-002
51,	-62,819	65,825	-0,10757
48,672	-66,137	64,389	-0,16539
51,	-61,537	71,058	-0,26628
48,593	-63,84	68,996	-0,28786
48,306	-62,079	70,585	-0,27197
51,	-61,059	67,517	-9,748e-002
51,	-57,764	74,157	-0,21226
49,105	-58,173	73,837	-0,21458
48,306	-60,225	72,173	-0,25055
51,	-56,098	71,163	-8,6543e-002
51,	-59,214	69,115	-7,6058e-002
47,83	-58,18	71,349	-0,13181
51,	-53,836	77,056	-0,14921
49,105	-56,236	75,323	-0,18198
48,526	-54,573	76,537	-0,1489
51,	-54,172	72,663	-5,394e-002
47,785	-53,247	74,839	-7,7944e-002
49,722	-53,046	75,917	-0,101
51,	-49,763	79,748	-7,6902e-002
48,994	-51,195	78,836	-9,1154e-002
48,526	-52,567	77,928	-0,11846
51,	-52,171	74,061	-2,3502e-002
51,	-48,457	75,456	9,0976e-003
49,722	-51,045	77,315	-7,0561e-002
48,5	-45,555	82,224	-9,6498e-003
48,994	-49,131	80,138	-4,9279e-002
47,738	-47,676	81,012	-2,6232e-002
51,	-46,386	76,748	5,0972e-002
47,451	-46,717	79,487	1,219e-002
49,722	-48,974	78,607	-2,8686e-002
43,5	5,3602	-36,509	4,4785
45,99	2,3635	-36,824	5,154
43,727	3,7343	-36,711	4,4122
48,5	5,2764	-32,287	8,4956
48,5	2,6555	-33,981	7,9235
44,75	8,2985	-36,077	5,4069
44,409	4,5542	-33,98	5,7848
46,115	8,5011	-33,637	6,9545
45,93	6,0847	-31,202	7,3753
