X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Stress (MPa)
106,	-32,508	-9,6161	-4,5077
105,23	-32,425	-10,402	1,1593
105,23	-31,963	-11,744	1,2904
108,02	-31,528	-12,458	-6,1986
108,02	-32,899	-8,1758	-5,8842
107,32	-30,177	-10,995	-4,8958
106,67	-30,946	-8,2806	-4,6936
105,03	-31,047	-10,686	-1,5533
105,54	-31,175	-12,021	-2,5918
106,	-33,23	-6,7055	-3,7903
105,23	-33,195	-7,5929	2,7091
105,23	-32,85	-8,9698	2,8994
108,02	-33,229	-6,7125	-4,1441
104,07	-32,651	-8,34	1,6129
106,67	-31,371	-6,8427	-2,9535
104,98	-32,434	-7,0094	1,0783
105,03	-31,472	-9,2484	0,18682
106,	-33,693	-3,7424	-5,8725
105,23	-33,723	-4,7284	1,6552
105,24	-33,496	-6,1298	1,6864
108,02	-33,493	-5,2362	-5,1668
105,18	-32,718	-3,871	-0,65664
106,67	-31,668	-5,3728	-3,9762
104,98	-32,731	-5,5395	5,5598e-002
106,	-33,892	-0,74994	-6,2292
105,26	-33,999	-1,7255	0,7904
105,24	-33,896	-3,2449	0,59575
108,02	-33,692	-3,7495	-6,2262
108,02	-33,892	0,74274	-6,0704
105,18	-32,884	-2,3806	-1,7161
106,93	-31,553	-1,6168	-4,6928
106,67	-31,833	-3,8825	-5,0357
106,	-33,825	2,2483	-4,7553
105,26	-34,023	1,2045	1,0267
105,26	-34,042	-0,21992	1,4932
108,02	-33,826	2,2412	-5,3676
105,18	-32,917	-0,88151	-1,0133
106,93	-31,586	-0,11763	-3,99
105,26	-32,742	1,3229	-1,6282
106,	-33,494	5,229	-6,6247
105,25	-33,795	4,1213	2,0906
105,26	-33,936	2,7083	1,7978
108,02	-33,694	3,7352	-4,5965
105,16	-32,053	5,4774	-0,67672
105,26	-32,642	2,8192	-0,85714
107,22	-32,096	5,3558	-3,9489
106,	-32,901	8,1688	-6,6641
105,24	-33,325	6,9963	-0,32334
105,25	-33,58	5,6122	-0,54979
108,02	-33,495	5,2219	-7,237
108,02	-32,51	9,6092	-7,6054
105,16	-31,822	6,959	-3,3172
107,22	-31,865	6,8374	-6,5894
106,	-32,05	11,045	-3,7563
105,24	-32,292	10,794	2,3298
105,13	-32,7	9,673	2,8491
105,24	-32,983	8,4635	2,2776
108,02	-32,053	11,038	-5,0044
105,16	-31,461	8,4143	-0,71616
104,74	-31,879	10,192	1,026
106,36	-30,25	10,909	-3,4604
107,22	-31,504	8,2927	-3,9884
106,	-30,949	13,834	-4,1139
105,26	-31,236	13,529	2,4774
105,24	-31,783	12,212	2,6366
108,02	-31,533	12,445	-4,6976
104,74	-31,39	11,61	1,3329
106,36	-29,761	12,327	-3,1536
104,14	-30,153	12,416	1,396
106,	-29,605	16,515	-5,7754
105,25	-29,921	16,241	2,1779
105,26	-30,607	14,898	1,813
108,02	-30,952	13,827	-5,362
108,02	-28,849	17,802	-5,5466
106,36	-29,15	13,696	-3,8179
104,81	-29,441	15,673	0,37911
105,53	-28,044	16,47	-2,0336
104,14	-29,541	13,785	0,73165
106,	-28,03	19,067	-5,4747
105,25	-28,412	18,757	1,192
105,25	-29,174	17,549	1,1807
108,02	-28,034	19,061	-6,5438
105,53	-27,314	17,78	-3,0307
106,	-26,235	21,47	-5,672
105,26	-26,698	21,121	2,3411
105,25	-27,554	19,995	2,49
108,02	-27,163	20,282	-5,2459
105,	-25,228	20,737	-0,11295
105,53	-26,47	19,019	-1,7328
106,26	-25,515	20,245	-3,6483
106,	-24,235	23,704	-6,2835
105,24	-24,729	23,409	1,4244
105,26	-25,738	22,282	0,84581
108,02	-26,239	21,464	-6,7412
108,02	-23,168	24,748	-6,9071
105,	-24,279	21,898	-1,6083
106,26	-24,565	21,406	-5,1437
106,	-22,045	25,753	-5,039
105,24	-22,638	25,437	2,4686
105,23	-23,68	24,472	2,3083
108,02	-22,05	25,749	-6,0233
105,	-23,23	22,97	-0,7244
104,93	-22,23	24,946	8,741e-002
106,38	-20,907	24,754	-4,1186
106,52	-21,873	22,434	-3,5202
106,26	-23,517	22,478	-4,2598
106,	-19,682	27,601	-5,0917
105,23	-20,382	27,279	2,4415
105,23	-21,502	26,406	2,8292
108,02	-20,89	26,699	-5,6626
104,93	-21,091	25,921	0,44808
106,38	-19,768	25,729	-3,7579
106,	-17,166	29,232	-5,6456
105,23	-17,977	28,921	2,9103
105,23	-19,166	28,146	2,0281
108,02	-19,688	27,597	-6,076
108,03	-15,861	29,961	-5,9364
106,38	-18,547	26,6	-4,1713
106,45	-15,859	28,036	-3,4456
105,16	-17,182	27,705	-1,3212
108,2	-17,368	27,104	-4,7555
106,	-14,515	30,635	-4,2434
105,23	-15,44	30,352	1,5566
105,24	-16,691	29,681	2,7697
108,03	-14,52	30,633	-6,077
106,45	-14,566	28,796	-3,5862
105,16	-15,888	28,465	-1,4617
106,	-11,751	31,798	-2,6154
105,26	-12,694	31,587	1,7442
105,24	-14,093	30,998	3,0992
108,03	-13,151	31,245	-4,5343
106,45	-13,211	29,438	-2,0435
104,99	-12,108	30,602	0,51913
106,	-8,8946	32,712	-3,0556
105,26	-9,9297	32,563	0,31237
105,26	-11,284	32,118	1,8295
108,03	-11,756	31,796	-4,449
105,31	-8,2499	31,806	-0,84979
106,45	-11,804	29,958	-1,9582
107,17	-8,8657	30,124	-1,8619
104,99	-10,702	31,122	0,60445
106,	-5,9687	33,37	-2,3094
105,27	-7,012	33,308	-0,94628
105,26	-8,4796	32,971	-0,21314
108,03	-10,338	32,285	-4,9745
108,1	-5,8532	33,391	-2,8434
105,31	-6,8029	32,199	-1,3753
107,17	-7,4187	30,518	-2,3874
106,7	-5,2752	31,685	-2,2007
106,	-2,9961	33,767	-0,23206
105,26	-4,1132	33,791	-1,4038e-002
105,27	-5,5318	33,585	0,32539
108,1	-4,3705	33,617	-1,5717
105,31	-5,3268	32,463	-0,10363
104,92	-3,1149	33,124	-5,7905e-002
106,7	-3,7991	31,949	-0,92905
106,	-5,9848e-014	33,9	0,47655
105,24	-1,2182	34,028	0,55711
105,26	-2,6144	33,94	0,79168
108,1	-2,8792	33,778	-0,766
104,92	-1,6213	33,257	0,74781
106,7	-2,3055	32,081	-0,12334
106,	2,9961	33,767	0,22121
105,25	2,722	33,937	0,22838
105,13	1,4432	34,071	0,37495
105,24	0,28819	34,049	0,46
108,1	-1,3823	33,872	-0,86312
108,05	3,4675	33,722	-8,0486e-002
110,91	0,99593	33,885	-0,13006
108,28	1,221	31,092	-0,42066
105,02	1,9775	32,723	0,50179
106,38	3,824	32,233	2,0758e-002
104,92	-0,12179	33,257	0,6507
106,7	-0,80597	32,081	-0,22045
106,	5,9687	33,37	-5,7204e-002
105,25	5,6238	33,578	-0,17276
105,25	4,2205	33,784	7,0158e-002
108,05	4,9558	33,536	-0,23871
104,13	4,7037	33,629	0,25297
105,02	3,4712	32,591	0,34357
106,38	5,3176	32,1	-0,13746
105,23	6,3533	32,523	-0,13864
104,23	5,5706	31,78	0,37538
106,	8,8946	32,712	-0,40133
105,25	8,4924	32,969	-0,6751
105,25	7,1035	33,296	-0,29295
108,05	6,4343	33,284	-0,3589
106,38	6,7937	31,836	-0,25766
105,23	7,8294	32,259	-0,25883
106,	11,751	31,798	-0,83553
105,26	11,285	32,118	-1,2849
105,25	9,9424	32,561	-0,89903
108,05	7,9003	32,967	-0,58284
107,88	11,771	31,791	-0,68699
106,38	8,2407	31,443	-0,48159
106,09	10,982	30,481	-0,83911
105,23	9,2764	31,866	-0,48277
109,1	8,8639	30,566	-0,83916
106,	14,515	30,635	-1,4139
105,24	14,093	30,998	-2,4098
105,26	12,695	31,587	-1,4951
107,88	13,166	31,239	-0,89726
104,94	13,564	30,781	-1,6244
106,09	12,388	29,961	-1,0494
106,	17,166	29,232	-2,0777
105,24	16,691	29,681	-3,6178
105,23	15,44	30,352	-2,7779
107,88	14,535	30,626	-1,2654
108,86	16,496	29,616	-1,2234
107,18	14,792	27,653	-1,7055
105,29	16,918	28,051	-2,5066
104,94	14,919	30,139	-1,9925
106,09	13,743	29,319	-1,4175
106,	19,682	27,601	-3,1016
105,23	19,166	28,146	-5,2347
105,23	17,977	28,921	-3,9135
107,86	19,86	27,474	-1,3257
108,86	17,79	28,857	-1,5191
107,18	16,085	26,893	-2,0012
105,29	18,211	27,292	-2,8023
106,	22,045	25,753	-3,9305
105,23	21,502	26,406	-7,3274
105,23	20,382	27,279	-5,9629
107,86	21,056	26,568	-2,0538
105,06	21,292	25,07	-4,6883
105,29	19,432	26,421	-3,5304
106,	24,235	23,704	-4,9383
105,23	23,68	24,472	-8,8755
105,24	22,638	25,437	-7,4282
107,86	22,21	25,611	-2,1546
105,06	22,432	24,095	-4,7891
106,	26,235	21,47	-4,812
105,26	25,738	22,28	-11,267
105,24	24,729	23,409	-9,7825
107,86	23,321	24,603	-3,0617
