31,	-2,9646	35,777	0,45171
31,	-5,9089	35,41	0,57722
31,	-8,8129	34,801	0,6313
31,	-11,657	33,955	0,68058
31,	-14,421	32,876	0,46121
31,	-17,087	31,573	-8,3878
31,	-19,635	30,054	-4,5231
31,	-22,05	28,33	-4,021
31,	-24,314	26,412	-5,1021
31,	-26,412	24,314	-3,9191
31,	-28,33	22,05	-3,0617
31,	-30,054	19,635	-2,9279
31,	-31,573	17,087	-2,1244
31,	-32,876	14,421	-1,8972
31,	-33,955	11,657	-1,4335
31,	-34,801	8,8129	-1,1957
31,	-35,41	5,9089	-0,75545
31,	-35,777	2,9646	-0,30129
31,	-35,9	-6,1573e-014	5,3608e-002
31,	-35,777	-2,9646	0,39415
31,	-35,41	-5,9089	0,68519
31,	-34,801	-8,8129	1,1389
31,	-33,955	-11,657	1,5236
31,	-32,876	-14,421	2,0284
31,	-31,573	-17,087	2,2718
31,	-30,054	-19,635	3,0348
31,	-28,33	-22,05	3,2466
31,	-26,412	-24,314	3,9551
31,	-24,314	-26,412	4,7238
31,	-22,05	-28,33	4,606
31,	-19,635	-30,054	4,1677
31,	-17,087	-31,573	8,2714
31,	-14,421	-32,876	-0,67019
31,	-11,657	-33,955	-0,82291
31,	-8,8129	-34,801	-0,52998
31,	-5,9089	-35,41	-0,53596
31,	-2,9646	-35,777	-0,53743
31,	41,983	30,245	0,24686
31,	41,983	-30,245	-0,2256
31,	41,983	25,592	-0,1859
31,	41,983	20,939	-0,27623
31,	41,983	16,286	-0,30246
31,	41,983	11,633	-0,30532
31,	41,983	6,9797	-0,21206
31,	41,983	2,3266	5,7086e-002
31,	41,983	-2,3266	4,9223e-002
31,	41,983	-6,9797	0,16321
31,	41,983	-11,633	0,32538
31,	41,983	-16,286	0,32028
31,	41,983	-20,939	0,28509
31,	41,983	-25,592	0,20596
31,	38,81	-31,598	-0,30382
31,	5,3602	-36,509	-0,11824
31,	34,031	-32,299	-0,47419
31,	29,253	-33,001	-0,63505
31,	24,474	-33,702	-0,80241
31,	19,696	-34,404	-0,69812
31,	14,917	-35,105	-0,51612
31,	10,139	-35,807	-0,26182
31,	-17,039	-32,731	7,5972
31,	-12,82	-34,602	-1,3214
31,	-8,4004	-35,931	-0,42111
31,	-3,8497	-36,699	-0,10643
31,	0,76119	-36,892	-6,894e-002
31,	-43,404	-83,379	-6,2811e-004
31,	-41,207	-79,158	0,22694
31,	-39,01	-74,938	0,42737
31,	-36,813	-70,717	0,61585
31,	-34,616	-66,496	0,81545
31,	-32,419	-62,276	0,98185
31,	-30,221	-58,055	1,216
31,	-28,024	-53,834	1,4127
31,	-25,827	-49,613	1,8095
31,	-23,63	-45,393	2,1713
31,	-21,433	-41,172	2,9168
31,	-19,236	-36,951	4,9547
31,	-43,404	83,379	1,7628e-004
31,	-47,675	-81,013	1,3544e-002
31,	-51,817	-78,428	6,6399e-002
31,	-55,819	-75,632	0,1398
31,	-59,671	-72,632	0,21738
31,	-63,361	-69,436	0,29296
31,	-66,881	-66,052	0,36115
31,	-70,22	-62,491	0,4076
31,	-73,37	-58,761	0,44608
31,	-76,322	-54,872	0,46733
31,	-79,068	-50,835	0,46921
31,	-81,601	-46,661	0,46257
31,	-83,914	-42,362	0,44068
31,	-86,	-37,948	0,40796
31,	-87,854	-33,431	0,373
31,	-89,471	-28,825	0,32731
31,	-90,847	-24,14	0,28074
31,	-91,978	-19,391	0,22541
31,	-92,861	-14,589	0,17235
31,	-93,493	-9,748	0,1148
31,	-93,873	-4,8806	6,0516e-002
